REG	2007-07	707632
REG	2010-07	1720595
REG	2009-08	771998
REG	2011-08	1592503
EXE	2012-08	799774
REG	2012-08	9876235
EXE	2013-08	931070
REG	2013-08	9371208
EXE	2014-08	1058527
REG	2014-08	10707457
EXE	2016-08	1275171
REG	2016-08	11451239
EXE	2015-08	1134250
REG	2015-08	11105497
REG	2008-08	748628
REG	2011-08	1953769
REG	2009-09	791169
REG	2010-09	1684869
EXE	2012-09	800729
REG	2012-09	9741849
EXE	2015-09	1171125
REG	2015-09	11247143
EXE	2016-09	1270933
REG	2016-09	11348258
REG	2008-09	749928
EXE	2014-09	1073004
REG	2014-09	10739197
EXE	2013-09	971680
REG	2013-09	9519192
REG	2007-09	712064
REG	2008-10	752085
REG	2009-10	818556
REG	2010-10	1874760
EXE	2012-10	826165
REG	2012-10	9626095
EXE	2013-10	978985
REG	2013-10	9760287
EXE	2014-10	1041053
REG	2014-10	10656948
EXE	2015-10	1163211
REG	2015-10	11277979
REG	2011-10	8518197
EXE	2016-10	1287593
REG	2016-10	11514856
REG	2007-10	717008
REG	2010-11	1730430
REG	2011-11	8596741
EXE	2012-11	847106
REG	2012-11	9512293
EXE	2013-11	1043289
REG	2013-11	9872835
EXE	2016-11	1280462
REG	2016-11	11415155
REG	2009-11	1667235
EXE	2015-11	1176590
REG	2015-11	11307482
EXE	2014-11	1094905
REG	2014-11	10808795
REG	2007-11	719488
REG	2009-12	1965036
REG	2010-12	1555964
REG	2011-12	5047165
EXE	2014-12	1117316
REG	2014-12	10800025
EXE	2015-12	1215218
REG	2015-12	11251309
EXE	2016-12	1297177
REG	2016-12	11424497
EXE	2013-12	1004754
REG	2013-12	10236984
EXE	2012-12	855396
REG	2012-12	9514059
REG	2008-12	782736
EXE	2018-01	1447094
EXE	2018-02	1446388
REG	2018-01	11918313
REG	2018-02	12123916
EXE	2018-03	1461412
REG	2018-03	11989738
EXE	2018-04	1510317
REG	2018-04	12184532
EXE	2018-05	1518179
REG	2018-05	12396677
EXE	2018-06	1528064
REG	2018-06	12525658
EXE	2018-07	1407397
REG	2018-07	12088809
EXE	2017-08	1375765
REG	2017-08	11704850
EXE	2018-08	1544314
REG	2018-08	12651925
EXE	2017-09	1408238
REG	2017-09	11746361
EXE	2017-10	1427906
REG	2017-10	11873793
EXE	2017-11	1427098
REG	2017-11	11956101
EXE	2017-12	1443702
REG	2017-12	11969356
EXE	2019-01	261
REG	2019-01	247
EXE	2020-01	1598110
REG	2020-01	11904595
EXE	2022-01	475517
REG	2022-01	3408162
EXE	2021-01	1738309
REG	2021-01	12296516
EXE	2023-01	2104816
REG	2023-01	13640987
EXE	2019-02	1614404
REG	2019-02	12729284
EXE	2021-02	1738087
REG	2021-02	12327321
EXE	2020-02	1615640
REG	2020-02	11945872
EXE	2023-02	2128750
REG	2023-02	13661961
EXE	2022-02	480863
REG	2022-02	3422940
EXE	2019-03	1634467
REG	2019-03	12778241
EXE	2021-03	1753343
REG	2021-03	12367781
EXE	2022-03	484677
REG	2022-03	3435576
EXE	2023-03	2148638
REG	2023-03	13661710
EXE	2019-04	1654961
REG	2019-04	12809599
EXE	2022-04	491990
REG	2022-04	3466497
EXE	2023-04	2164096
REG	2023-04	13610675
EXE	2021-04	440113
REG	2021-04	3279595
EXE	2019-05	1538382
REG	2019-05	11694324
EXE	2022-05	497180
REG	2022-05	3495676
EXE	2021-05	446532
REG	2021-05	3320664
REG	2023-05	20008858
EXE	2020-06	1671773
REG	2020-06	12128714
EXE	2021-06	451408
REG	2021-06	3304805
EXE	2022-06	506197
REG	2022-06	3519573
REG	2019-06	11755518
EXE	2019-06	1547073
EXE	2019-07	1545821
REG	2019-07	11772524
EXE	2020-07	1663596
REG	2020-07	12118142
EXE	2021-07	449988
REG	2021-07	3333128
EXE	2022-07	502759
